system,com.android.systemui
244464,271677
230395,126325
182531,134799
178496,128670
174258,122850
174320,129669
184672,130518
171202,131457
179840,127142
171779,121135
177658,127442
186723,136150
178091,128224
173852,128741
174054,126649
176104,127520
170919,125578
186751,126026
180722,125647
179623,131568
173523,124610
185033,134645
165583,127232
172590,121534
172028,131235
167246,128377
174056,132035
177917,141553
188821,121440
178069,123392
181498,113920
189897,108412
170249,122001
179322,108447
175771,115207
169853,110025
177591,116781
172743,112643
182360,120564
165136,116622
183014,108827
188799,116158
198824,113136
167261,124123
179307,119893
188552,109827
173943,118346
198599,113148
181708,118593
176484,115556
185459,118196
176236,116446
192150,108719
184696,119062
205425,111312
190620,114024
197969,113088
173871,110252
170793,121450
175643,117385
178860,117513
179701,111026
171534,115362
186339,121051
175454,123938
172089,115979
185743,110920
186188,112717
191274,114404
186012,114467
192035,116434
176089,115993
209623,116508
191841,118775
203987,112447
180930,113696
190221,109430
179464,113633
197660,113755
187751,119801
210760,113386
183968,111595
178929,120440
172965,123719
196390,111794
189007,113356
192081,114054
188184,118361
177387,125093
175151,110440
181271,115314
192019,113570
192239,108287
189943,121496
188164,116650
182650,112182
182734,118561
181800,114407
172066,119649
189417,110705
171761,114730
205984,108612
178733,116226
176751,113877
191659,116941
174847,120126
178821,114816
192341,116747
175537,120131
171575,119685
188560,111847
170915,118317
191531,114357
169399,117134
199575,114066
174865,112512
174000,112291
206244,111245
187180,115000
178225,116996
174319,111255
179486,114132
182382,113953
196316,115561
175767,119691
187858,121758
201145,112814
179552,118000
194676,112393
209789,112443
181871,112099
184372,110170
183605,116187
189541,121135
186973,111911
190309,113150
171068,117333
183289,112490
175543,121779
190924,111090
170763,115673
188431,124956
193260,116586
169454,109722
191185,110296
232822,121685
173881,108481
176264,111851
177403,110430
188518,115151
191241,119609
180364,115277
176471,110744
195897,119869
177279,116352
190640,108743
197287,111956
194946,112119
177126,119480
200670,111181
184298,122817
178041,111542
195827,115724
185564,114904
194481,117757
179173,112127
195365,122492
193277,114952
180551,114066
177406,116637
199754,112817
180920,109613
173018,116143
176942,112136
183960,112344
190392,111543
186866,108621
181142,119233
181520,111847
189533,114535
214491,123288
193546,115570
195072,109759
192638,113797
177748,109609
178109,122059
177658,114446
193636,109721
175836,114963
191919,113003
192757,119365
173394,110568
180350,111226
173606,125753
187207,114494
172577,111885
194446,114875
174862,120467
174848,109422
172519,116074
192449,118613
193399,111836
178747,113685
172534,125030
177482,122195
188815,117645
192519,112729
176560,116358
188972,119068
212561,110990
172040,122007
179703,117395
192675,112898
182463,117482
185001,119754
194512,111461
174801,120676
189395,121367
188205,115273
179734,120950
179926,117715
180585,111627
204552,111715
196864,117324
180327,114668
178286,118650
210184,117541
179655,117532
189634,122332
198919,109868
182221,120578
181866,111614
179665,116742
175126,116734
201818,117791
193285,114323
176482,114937
180291,121951
193033,120442
184785,109789
188540,114284
182003,112721
182678,114808
192182,122019
179921,116448
182242,110004
190275,110255
192685,117652
175262,115201
198024,116048
175134,117945
197649,115184
180112,115288
192405,113651
179315,112443
194833,123346
204960,117379
193277,111745
192235,110045
175093,116875
184059,114524
182663,118734
180938,114268
176631,115395
185239,117171
191282,113296
182887,114117
179339,111346
196409,112079
193435,114682
189828,116513
195037,110334
197972,115658
179380,117477
182720,112629
188297,111499
212287,115191
182222,110766
179131,114131
182705,110692
179790,115381
194333,119089
182703,115208
182252,117255
176220,120659
196293,115203
190887,115369
205713,111068
193754,111664
191135,109539
180857,124973
195766,111971
178333,123149
196448,96952
206705,104824
179906,96996
192706,104610
179583,97639
197377,99775
191976,99501
186775,101584
200371,95579
177389,99610
193000,102465
200123,94928
199627,103063
192636,102500
187207,101349
196164,97931
198751,100530
184043,103422
179615,97338
197886,95454
179531,105453
178993,101164
174288,107461
180845,96651
177539,96561
175477,114180
179908,96812
215060,95739
207513,100747
207737,99464
199568,98596
197280,97783
196908,100099
216911,103573
212356,98721
200050,102853
205324,106257
214986,104918
195901,102409
204184,110296
215744,99819
196213,106934
233646,99644
215855,97351
217881,104445
213613,97040
197178,104069
198259,95720
208246,105424
206794,104710
218074,100105
212926,95887
197626,102435
214844,102168
201806,97622
193991,98642
223470,99776
196029,100522
193332,106792
200314,97558
213756,98103
221623,97499
212977,102103
195975,107258
209738,98177
208711,101966
215755,97335
209056,98849
199686,105897
197566,102311
220650,98289
203835,113123
207393,101470
216380,95151
219105,100179
197490,100385
190824,109767
193146,97552
214820,107682
208580,96659
199647,94849
199548,103933
194192,99767
215004,101177
196163,98199
212850,99723
196510,108231
194045,99576
209440,103130
193698,105291
213862,103993
194940,105020
207079,113103
203788,96852
202852,103485
196385,95500
218993,97862
210095,107116
243061,103125
210075,101590
202303,104258
200265,104430
197655,111034
213823,105373
197650,97919
221066,106675
197419,105112
198596,97961
213131,96312
204733,106344
204159,97436
198164,93712
204003,100563
212526,101150
200428,94942
212142,95926
205689,98705
194826,99288
214328,97968
205945,104338
202758,98586
207964,96656
199299,104367
213949,100483
214707,104653
219999,97155
200897,97345
223556,104853
227430,94184
